cluster,count,avg_trace_length,avg_duration,std_duration,avg_length,std_length
0,30,7.0,785724.8,235724.35411936778,7.0,0.0
1,15,6.8,1101066.3333333333,337890.8415432557,6.8,0.4140393356054126
2,4,6.0,540821.0,196664.62098540584,6.0,0.0
3,21,7.0,768925.0,287519.2509196558,7.0,0.0
