cluster,count,avg_trace_length,avg_duration,std_duration,avg_length,std_length
0,10,6.9,742652.0,301032.5031598194,6.9,0.316227766016838
1,60,6.9,849532.1333333333,309132.07834793,6.9,0.30253169045376643
