cluster,count,avg_trace_length,avg_duration,std_duration,avg_length,std_length
0,4,6.0,774512.75,193573.45741324316,6.0,0.0
1,6,6.0,556870.5,188072.5155196793,6.0,0.0
2,74,7.0,783363.3243243244,264686.57278839947,7.0,0.0
3,3,7.0,1104327.0,233664.68365587472,7.0,0.0
4,4,7.0,1122684.75,570553.5193163302,7.0,0.0
5,6,7.0,1281027.5,188520.90226364823,7.0,0.0
6,3,7.0,949199.6666666666,285720.0671589823,7.0,0.0
